Country,Total bilateral commitments ($ billion)
Australia,0.46
Austria,0.94
Belgium,0.53
Bulgaria,0.26
Canada,5.73
Croatia,0.21
Czech Republic,1.02
Denmark,2.05
Estonia,0.47
EU (Commission and Council),29.84
Finland,1.32
France,1.59
Germany,11.61
Greece,0.2
Hungary,0.05
Iceland,0.03
Ireland,0.1
Italy,1.46
Japan,7.19
Latvia,0.43
Lithuania,0.63
Luxembourg,0.1
Netherlands,4.42
New Zealand,0.03
Norway,2.27
Poland,4.64
Portugal,0.36
South Korea,0.66
Romania,0.14
Slovakia,0.74
Slovenia,0.07
Spain,0.91
Sweden,1.99
Switzerland,0.42
Turkey,0.07
United Kingdom,11.67
United States,76.84
Taiwan,0.07