Country,Financial commitments,Humanitarian commitments,Military commitments,Total bilateral commitments,Share in total EU commitments,Total bilateral and EU assistance,Specific weapons and equipment,Financial commitments with military purpose,Alliance
Australia,0,0.07,0.39,0.46,0,0.46,0.38,0.01,non-NATO
Austria,0.04,0.89,0,0.94,1.1,2.04,0,0,non-NATO
Belgium,0.02,0.1,0.42,0.53,1.36,1.9,0.42,0,NATO
Bulgaria,0,0,0.26,0.26,0.22,0.48,0.26,0,NATO
Canada,3.71,0.38,1.63,5.73,0,5.73,1.63,0,NATO
Croatia,0,0.04,0.17,0.21,0.16,0.36,0.13,0.03,NATO
Cyprus,0,0,0,0,0.06,0.06,0,0,non-NATO
Czech Republic,0,0.4,0.61,1.02,0.55,1.57,0.57,0.04,NATO
Denmark,0.06,0.28,1.71,2.05,0.96,3.01,1.71,0,NATO
Estonia,0,0.01,0.46,0.47,0.07,0.54,0.46,0,NATO
EU (Commission and Council),27.52,2.33,0,29.84,0,29.84,0,0,non-NATO
Finland,0.08,0.02,1.21,1.32,0.65,1.97,1.18,0.03,NATO
France,0.76,0.34,0.48,1.59,6.52,8.11,0.48,0,NATO
Germany,1.41,2.04,8.15,11.61,7.97,19.58,8.07,0.08,NATO
Greece,0,0,0.2,0.2,0.54,0.74,0.2,0,NATO
Hungary,0,0.05,0,0.05,0.43,0.48,0,0,NATO
Iceland,0.01,0.01,0.01,0.03,0,0.03,0.01,0,NATO
Ireland,0.03,0.07,0,0.1,0.75,0.84,0,0,non-NATO
Italy,0.45,0.24,0.77,1.46,4.82,6.28,0.77,0,NATO
Japan,6.07,1.09,0.03,7.19,0,7.19,0.03,0,non-NATO
Latvia,0.03,0.01,0.4,0.43,0.08,0.51,0.4,0,NATO
Lithuania,0.03,0.07,0.53,0.63,0.12,0.76,0.45,0.08,NATO
Luxembourg,0,0,0.1,0.1,0.12,0.22,0.1,0,NATO
Malta,0,0,0,0,0.03,0.03,0,0,non-NATO
Netherlands,1.08,0.64,2.7,4.42,2.82,7.24,2.55,0.15,NATO
New Zealand,0,0.01,0.02,0.03,0,0.03,0.01,0.01,non-NATO
Norway,0.96,0.21,1.1,2.27,0,2.27,0.79,0.31,NATO
Poland,1.01,0.37,3.26,4.64,1.58,6.21,3.26,0,NATO
Portugal,0.27,0,0.08,0.36,0.54,0.9,0.08,0,NATO
South Korea,0.43,0.23,0,0.66,0,0.66,0,0,non-NATO
Romania,0,0.13,0,0.14,0.61,0.74,0,0,NATO
Slovakia,0,0.01,0.73,0.74,0.32,1.06,0.73,0,NATO
Slovenia,0,0.01,0.06,0.07,0.13,0.2,0.06,0,NATO
Spain,0.49,0.06,0.36,0.91,4.3,5.21,0.36,0,NATO
Sweden,0.22,0.15,1.62,1.99,1.29,3.28,1.45,0.16,non-NATO
Switzerland,0.04,0.38,0,0.42,0,0.42,0,0,non-NATO
Turkey,0,0.01,0.07,0.07,0,0.07,0.07,0,NATO
United Kingdom,4.22,0.29,7.15,11.67,0,11.67,7.15,0,NATO
United States,26.37,3.91,46.56,76.84,0,76.84,46.56,0,NATO
China,0,0,0,0,0,0,0,0,non-NATO
Taiwan,0,0.07,0,0.07,0,0.07,0,0,non-NATO
India,0,0,0,0,0,0,0,0,non-NATO
NATO,,,,,,,,,Alliance
non-NATO,,,,,,,,,Alliance
Alliance,,,,,,,,,